S.No,Category (Landing Page),Sub Category,Product / Service Name,Type,Unit Mapping,Alt / Secondary Units,Quantity Parameters
15181,Home Decor,Cushions & Pillows,Home Decor Consultation - Cushions & Pillows Option 3,Service,Per Project,Contract,1
15182,Home Decor,Cushions & Pillows,Home Decor Management Service - Cushions & Pillows Option 4,Service,Per Project,Contract,1
15183,Home Decor,Cushions & Pillows,Home Decor Support Service - Cushions & Pillows Option 5,Service,Per Project,Contract,1
15184,Home Decor,Rugs & Carpets,Home Decor Product B - Rugs & Carpets Type 1,Product,Per Formula,Contract,175
15185,Home Decor,Rugs & Carpets,Home Decor Product C - Rugs & Carpets Type 2,Product,Per Animal,Annual,180
15186,Home Decor,Rugs & Carpets,Home Decor Item Premium - Rugs & Carpets Type 3,Product,Sheet,Box,185
15187,Home Decor,Rugs & Carpets,Home Decor Item Standard - Rugs & Carpets Type 4,Product,Roll,Pallet,190
15188,Home Decor,Rugs & Carpets,Home Decor Item Economy - Rugs & Carpets Type 5,Product,Sqft,Sqmt,195
15189,Home Decor,Rugs & Carpets,Home Decor Model X1 - Rugs & Carpets Type 6,Product,Sqmt,Acre,200
15190,Home Decor,Rugs & Carpets,Home Decor Model X2 - Rugs & Carpets Type 7,Product,Kg,Ton,205
15191,Home Decor,Rugs & Carpets,Home Decor Model Pro - Rugs & Carpets Type 8,Product,Litre,Barrel,210
15192,Home Decor,Rugs & Carpets,Home Decor Solution Basic - Rugs & Carpets Type 9,Product,Piece,Dozen,215
15193,Home Decor,Rugs & Carpets,Home Decor Solution Advanced - Rugs & Carpets Type 10,Product,Set,Lot,220
15194,Home Decor,Rugs & Carpets,Home Decor Solution Enterprise - Rugs & Carpets Type 11,Product,Meter,Roll,225
15195,Home Decor,Rugs & Carpets,Home Decor Pack Small - Rugs & Carpets Type 12,Product,Box,Carton,230
15196,Home Decor,Rugs & Carpets,Home Decor Pack Medium - Rugs & Carpets Type 13,Product,Bag,Pallet,235
15197,Home Decor,Rugs & Carpets,Home Decor Pack Large - Rugs & Carpets Type 14,Product,Unit,Lot,240
15198,Home Decor,Rugs & Carpets,Home Decor Kit Starter - Rugs & Carpets Type 15,Product,License,Subscription,245
15199,Home Decor,Rugs & Carpets,Home Decor Kit Professional - Rugs & Carpets Type 16,Product,Service,Contract,250
15200,Home Decor,Rugs & Carpets,Home Decor Standard Service - Rugs & Carpets Option 1,Service,Per Project,Contract,1
15201,Home Decor,Rugs & Carpets,Home Decor Premium Service - Rugs & Carpets Option 2,Service,Per Project,Contract,1
15202,Home Decor,Rugs & Carpets,Home Decor Consultation - Rugs & Carpets Option 3,Service,Per Project,Contract,1
15203,Home Decor,Rugs & Carpets,Home Decor Management Service - Rugs & Carpets Option 4,Service,Per Project,Contract,1
15204,Home Decor,Rugs & Carpets,Home Decor Support Service - Rugs & Carpets Option 5,Service,Per Project,Contract,1
15205,Home Decor,Vases,Home Decor Product B - Vases Type 1,Product,Certificate,Lot,30
15206,Home Decor,Vases,Home Decor Product C - Vases Type 2,Product,Credit,Pack,35
15207,Home Decor,Vases,Home Decor Item Premium - Vases Type 3,Product,Per Filing,Annual,40
15208,Home Decor,Vases,Home Decor Item Standard - Vases Type 4,Product,Per Month,Annual,45
15209,Home Decor,Vases,Home Decor Item Economy - Vases Type 5,Product,Per Hour,Monthly,50
15210,Home Decor,Vases,Home Decor Model X1 - Vases Type 6,Product,Per Project,Contract,55
15211,Home Decor,Vases,Home Decor Model X2 - Vases Type 7,Product,Per Acre,Per Season,60
15212,Home Decor,Vases,Home Decor Model Pro - Vases Type 8,Product,Per Day,Monthly,65
15213,Home Decor,Vases,Home Decor Solution Basic - Vases Type 9,Product,Per Sample,Batch,70
15214,Home Decor,Vases,Home Decor Solution Advanced - Vases Type 10,Product,Per Trip,Contract,75
15215,Home Decor,Vases,Home Decor Solution Enterprise - Vases Type 11,Product,Per Formula,Contract,80
15216,Home Decor,Vases,Home Decor Pack Small - Vases Type 12,Product,Per Animal,Annual,85
15217,Home Decor,Vases,Home Decor Pack Medium - Vases Type 13,Product,Sheet,Box,90
15218,Home Decor,Vases,Home Decor Pack Large - Vases Type 14,Product,Roll,Pallet,95
15219,Home Decor,Vases,Home Decor Kit Starter - Vases Type 15,Product,Sqft,Sqmt,100
15220,Home Decor,Vases,Home Decor Kit Professional - Vases Type 16,Product,Sqmt,Acre,105
15221,Home Decor,Vases,Home Decor Standard Service - Vases Option 1,Service,Per Project,Contract,1
15222,Home Decor,Vases,Home Decor Premium Service - Vases Option 2,Service,Per Project,Contract,1
15223,Home Decor,Vases,Home Decor Consultation - Vases Option 3,Service,Per Project,Contract,1
15224,Home Decor,Vases,Home Decor Management Service - Vases Option 4,Service,Per Project,Contract,1
15225,Home Decor,Vases,Home Decor Support Service - Vases Option 5,Service,Per Project,Contract,1
15226,Home Decor,Photo Frames,Home Decor Product B - Photo Frames Type 1,Product,Box,Carton,135
15227,Home Decor,Photo Frames,Home Decor Product C - Photo Frames Type 2,Product,Bag,Pallet,140
15228,Home Decor,Photo Frames,Home Decor Item Premium - Photo Frames Type 3,Product,Unit,Lot,145
15229,Home Decor,Photo Frames,Home Decor Item Standard - Photo Frames Type 4,Product,License,Subscription,150
15230,Home Decor,Photo Frames,Home Decor Item Economy - Photo Frames Type 5,Product,Service,Contract,155
15231,Home Decor,Photo Frames,Home Decor Model X1 - Photo Frames Type 6,Product,Ton,MT,160
15232,Home Decor,Photo Frames,Home Decor Model X2 - Photo Frames Type 7,Product,Pack,Carton,165
15233,Home Decor,Photo Frames,Home Decor Model Pro - Photo Frames Type 8,Product,Gram,Kg,170
15234,Home Decor,Photo Frames,Home Decor Solution Basic - Photo Frames Type 9,Product,Can,Pallet,175
15235,Home Decor,Photo Frames,Home Decor Solution Advanced - Photo Frames Type 10,Product,Book,Box,180
15236,Home Decor,Photo Frames,Home Decor Solution Enterprise - Photo Frames Type 11,Product,Certificate,Lot,185
15237,Home Decor,Photo Frames,Home Decor Pack Small - Photo Frames Type 12,Product,Credit,Pack,190
15238,Home Decor,Photo Frames,Home Decor Pack Medium - Photo Frames Type 13,Product,Per Filing,Annual,195
15239,Home Decor,Photo Frames,Home Decor Pack Large - Photo Frames Type 14,Product,Per Month,Annual,200
15240,Home Decor,Photo Frames,Home Decor Kit Starter - Photo Frames Type 15,Product,Per Hour,Monthly,205
15241,Home Decor,Photo Frames,Home Decor Kit Professional - Photo Frames Type 16,Product,Per Project,Contract,210
15242,Home Decor,Photo Frames,Home Decor Standard Service - Photo Frames Option 1,Service,Per Project,Contract,1
15243,Home Decor,Photo Frames,Home Decor Premium Service - Photo Frames Option 2,Service,Per Project,Contract,1
15244,Home Decor,Photo Frames,Home Decor Consultation - Photo Frames Option 3,Service,Per Project,Contract,1
15245,Home Decor,Photo Frames,Home Decor Management Service - Photo Frames Option 4,Service,Per Project,Contract,1
15246,Home Decor,Photo Frames,Home Decor Support Service - Photo Frames Option 5,Service,Per Project,Contract,1
15247,Home Decor,Table Lamps,Home Decor Product B - Table Lamps Type 1,Product,Per Animal,Annual,240
15248,Home Decor,Table Lamps,Home Decor Product C - Table Lamps Type 2,Product,Sheet,Box,245
15249,Home Decor,Table Lamps,Home Decor Item Premium - Table Lamps Type 3,Product,Roll,Pallet,250
15250,Home Decor,Table Lamps,Home Decor Item Standard - Table Lamps Type 4,Product,Sqft,Sqmt,5
15251,Home Decor,Table Lamps,Home Decor Item Economy - Table Lamps Type 5,Product,Sqmt,Acre,10
15252,Home Decor,Table Lamps,Home Decor Model X1 - Table Lamps Type 6,Product,Kg,Ton,15
15253,Home Decor,Table Lamps,Home Decor Model X2 - Table Lamps Type 7,Product,Litre,Barrel,20
15254,Home Decor,Table Lamps,Home Decor Model Pro - Table Lamps Type 8,Product,Piece,Dozen,25
15255,Home Decor,Table Lamps,Home Decor Solution Basic - Table Lamps Type 9,Product,Set,Lot,30
15256,Home Decor,Table Lamps,Home Decor Solution Advanced - Table Lamps Type 10,Product,Meter,Roll,35
15257,Home Decor,Table Lamps,Home Decor Solution Enterprise - Table Lamps Type 11,Product,Box,Carton,40
15258,Home Decor,Table Lamps,Home Decor Pack Small - Table Lamps Type 12,Product,Bag,Pallet,45
15259,Home Decor,Table Lamps,Home Decor Pack Medium - Table Lamps Type 13,Product,Unit,Lot,50
15260,Home Decor,Table Lamps,Home Decor Pack Large - Table Lamps Type 14,Product,License,Subscription,55
15261,Home Decor,Table Lamps,Home Decor Kit Starter - Table Lamps Type 15,Product,Service,Contract,60
15262,Home Decor,Table Lamps,Home Decor Kit Professional - Table Lamps Type 16,Product,Ton,MT,65
15263,Home Decor,Table Lamps,Home Decor Standard Service - Table Lamps Option 1,Service,Per Project,Contract,1
15264,Home Decor,Table Lamps,Home Decor Premium Service - Table Lamps Option 2,Service,Per Project,Contract,1
15265,Home Decor,Table Lamps,Home Decor Consultation - Table Lamps Option 3,Service,Per Project,Contract,1
15266,Home Decor,Table Lamps,Home Decor Management Service - Table Lamps Option 4,Service,Per Project,Contract,1
15267,Home Decor,Table Lamps,Home Decor Support Service - Table Lamps Option 5,Service,Per Project,Contract,1
15268,Home Decor,Candles,Home Decor Product B - Candles Type 1,Product,Credit,Pack,95
15269,Home Decor,Candles,Home Decor Product C - Candles Type 2,Product,Per Filing,Annual,100
15270,Home Decor,Candles,Home Decor Item Premium - Candles Type 3,Product,Per Month,Annual,105
15271,Home Decor,Candles,Home Decor Item Standard - Candles Type 4,Product,Per Hour,Monthly,110
15272,Home Decor,Candles,Home Decor Item Economy - Candles Type 5,Product,Per Project,Contract,115
15273,Home Decor,Candles,Home Decor Model X1 - Candles Type 6,Product,Per Acre,Per Season,120
15274,Home Decor,Candles,Home Decor Model X2 - Candles Type 7,Product,Per Day,Monthly,125
15275,Home Decor,Candles,Home Decor Model Pro - Candles Type 8,Product,Per Sample,Batch,130
15276,Home Decor,Candles,Home Decor Solution Basic - Candles Type 9,Product,Per Trip,Contract,135
15277,Home Decor,Candles,Home Decor Solution Advanced - Candles Type 10,Product,Per Formula,Contract,140
15278,Home Decor,Candles,Home Decor Solution Enterprise - Candles Type 11,Product,Per Animal,Annual,145
15279,Home Decor,Candles,Home Decor Pack Small - Candles Type 12,Product,Sheet,Box,150
15280,Home Decor,Candles,Home Decor Pack Medium - Candles Type 13,Product,Roll,Pallet,155
15281,Home Decor,Candles,Home Decor Pack Large - Candles Type 14,Product,Sqft,Sqmt,160
15282,Home Decor,Candles,Home Decor Kit Starter - Candles Type 15,Product,Sqmt,Acre,165
15283,Home Decor,Candles,Home Decor Kit Professional - Candles Type 16,Product,Kg,Ton,170
15284,Home Decor,Candles,Home Decor Standard Service - Candles Option 1,Service,Per Project,Contract,1
15285,Home Decor,Candles,Home Decor Premium Service - Candles Option 2,Service,Per Project,Contract,1
15286,Home Decor,Candles,Home Decor Consultation - Candles Option 3,Service,Per Project,Contract,1
15287,Home Decor,Candles,Home Decor Management Service - Candles Option 4,Service,Per Project,Contract,1
15288,Home Decor,Candles,Home Decor Support Service - Candles Option 5,Service,Per Project,Contract,1
15289,Home Decor,Artificial Plants,Home Decor Product B - Artificial Plants Type 1,Product,Bag,Pallet,200
15290,Home Decor,Artificial Plants,Home Decor Product C - Artificial Plants Type 2,Product,Unit,Lot,205
15291,Home Decor,Artificial Plants,Home Decor Item Premium - Artificial Plants Type 3,Product,License,Subscription,210
15292,Home Decor,Artificial Plants,Home Decor Item Standard - Artificial Plants Type 4,Product,Service,Contract,215
15293,Home Decor,Artificial Plants,Home Decor Item Economy - Artificial Plants Type 5,Product,Ton,MT,220
15294,Home Decor,Artificial Plants,Home Decor Model X1 - Artificial Plants Type 6,Product,Pack,Carton,225
15295,Home Decor,Artificial Plants,Home Decor Model X2 - Artificial Plants Type 7,Product,Gram,Kg,230
15296,Home Decor,Artificial Plants,Home Decor Model Pro - Artificial Plants Type 8,Product,Can,Pallet,235
15297,Home Decor,Artificial Plants,Home Decor Solution Basic - Artificial Plants Type 9,Product,Book,Box,240
15298,Home Decor,Artificial Plants,Home Decor Solution Advanced - Artificial Plants Type 10,Product,Certificate,Lot,245
15299,Home Decor,Artificial Plants,Home Decor Solution Enterprise - Artificial Plants Type 11,Product,Credit,Pack,250
15300,Home Decor,Artificial Plants,Home Decor Pack Small - Artificial Plants Type 12,Product,Per Filing,Annual,5
15301,Home Decor,Artificial Plants,Home Decor Pack Medium - Artificial Plants Type 13,Product,Per Month,Annual,10
15302,Home Decor,Artificial Plants,Home Decor Pack Large - Artificial Plants Type 14,Product,Per Hour,Monthly,15
15303,Home Decor,Artificial Plants,Home Decor Kit Starter - Artificial Plants Type 15,Product,Per Project,Contract,20
15304,Home Decor,Artificial Plants,Home Decor Kit Professional - Artificial Plants Type 16,Product,Per Acre,Per Season,25
15305,Home Decor,Artificial Plants,Home Decor Standard Service - Artificial Plants Option 1,Service,Per Project,Contract,1
15306,Home Decor,Artificial Plants,Home Decor Premium Service - Artificial Plants Option 2,Service,Per Project,Contract,1
15307,Home Decor,Artificial Plants,Home Decor Consultation - Artificial Plants Option 3,Service,Per Project,Contract,1
15308,Home Decor,Artificial Plants,Home Decor Management Service - Artificial Plants Option 4,Service,Per Project,Contract,1
15309,Home Decor,Artificial Plants,Home Decor Support Service - Artificial Plants Option 5,Service,Per Project,Contract,1
15310,Home Decor,Wall Clocks,Home Decor Product B - Wall Clocks Type 1,Product,Sheet,Box,55
15311,Home Decor,Wall Clocks,Home Decor Product C - Wall Clocks Type 2,Product,Roll,Pallet,60
15312,Home Decor,Wall Clocks,Home Decor Item Premium - Wall Clocks Type 3,Product,Sqft,Sqmt,65
15313,Home Decor,Wall Clocks,Home Decor Item Standard - Wall Clocks Type 4,Product,Sqmt,Acre,70
15314,Home Decor,Wall Clocks,Home Decor Item Economy - Wall Clocks Type 5,Product,Kg,Ton,75
15315,Home Decor,Wall Clocks,Home Decor Model X1 - Wall Clocks Type 6,Product,Litre,Barrel,80
15316,Home Decor,Wall Clocks,Home Decor Model X2 - Wall Clocks Type 7,Product,Piece,Dozen,85
15317,Home Decor,Wall Clocks,Home Decor Model Pro - Wall Clocks Type 8,Product,Set,Lot,90
15318,Home Decor,Wall Clocks,Home Decor Solution Basic - Wall Clocks Type 9,Product,Meter,Roll,95
15319,Home Decor,Wall Clocks,Home Decor Solution Advanced - Wall Clocks Type 10,Product,Box,Carton,100
15320,Home Decor,Wall Clocks,Home Decor Solution Enterprise - Wall Clocks Type 11,Product,Bag,Pallet,105
15321,Home Decor,Wall Clocks,Home Decor Pack Small - Wall Clocks Type 12,Product,Unit,Lot,110
15322,Home Decor,Wall Clocks,Home Decor Pack Medium - Wall Clocks Type 13,Product,License,Subscription,115
15323,Home Decor,Wall Clocks,Home Decor Pack Large - Wall Clocks Type 14,Product,Service,Contract,120
15324,Home Decor,Wall Clocks,Home Decor Kit Starter - Wall Clocks Type 15,Product,Ton,MT,125
15325,Home Decor,Wall Clocks,Home Decor Kit Professional - Wall Clocks Type 16,Product,Pack,Carton,130
15326,Home Decor,Wall Clocks,Home Decor Standard Service - Wall Clocks Option 1,Service,Per Project,Contract,1
15327,Home Decor,Wall Clocks,Home Decor Premium Service - Wall Clocks Option 2,Service,Per Project,Contract,1
15328,Home Decor,Wall Clocks,Home Decor Consultation - Wall Clocks Option 3,Service,Per Project,Contract,1
15329,Home Decor,Wall Clocks,Home Decor Management Service - Wall Clocks Option 4,Service,Per Project,Contract,1
15330,Home Decor,Wall Clocks,Home Decor Support Service - Wall Clocks Option 5,Service,Per Project,Contract,1
15331,Hospital Furniture,Hospital Beds,Hospital Furniture Product B - Hospital Beds Type 1,Product,Per Filing,Annual,160
15332,Hospital Furniture,Hospital Beds,Hospital Furniture Product C - Hospital Beds Type 2,Product,Per Month,Annual,165
15333,Hospital Furniture,Hospital Beds,Hospital Furniture Item Premium - Hospital Beds Type 3,Product,Per Hour,Monthly,170
15334,Hospital Furniture,Hospital Beds,Hospital Furniture Item Standard - Hospital Beds Type 4,Product,Per Project,Contract,175
15335,Hospital Furniture,Hospital Beds,Hospital Furniture Item Economy - Hospital Beds Type 5,Product,Per Acre,Per Season,180
15336,Hospital Furniture,Hospital Beds,Hospital Furniture Model X1 - Hospital Beds Type 6,Product,Per Day,Monthly,185
15337,Hospital Furniture,Hospital Beds,Hospital Furniture Model X2 - Hospital Beds Type 7,Product,Per Sample,Batch,190
15338,Hospital Furniture,Hospital Beds,Hospital Furniture Model Pro - Hospital Beds Type 8,Product,Per Trip,Contract,195
15339,Hospital Furniture,Hospital Beds,Hospital Furniture Solution Basic - Hospital Beds Type 9,Product,Per Formula,Contract,200
15340,Hospital Furniture,Hospital Beds,Hospital Furniture Solution Advanced - Hospital Beds Type 10,Product,Per Animal,Annual,205
15341,Hospital Furniture,Hospital Beds,Hospital Furniture Solution Enterprise - Hospital Beds Type 11,Product,Sheet,Box,210
15342,Hospital Furniture,Hospital Beds,Hospital Furniture Pack Small - Hospital Beds Type 12,Product,Roll,Pallet,215
15343,Hospital Furniture,Hospital Beds,Hospital Furniture Pack Medium - Hospital Beds Type 13,Product,Sqft,Sqmt,220
15344,Hospital Furniture,Hospital Beds,Hospital Furniture Pack Large - Hospital Beds Type 14,Product,Sqmt,Acre,225
15345,Hospital Furniture,Hospital Beds,Hospital Furniture Kit Starter - Hospital Beds Type 15,Product,Kg,Ton,230
15346,Hospital Furniture,Hospital Beds,Hospital Furniture Kit Professional - Hospital Beds Type 16,Product,Litre,Barrel,235
15347,Hospital Furniture,Hospital Beds,Hospital Furniture Standard Service - Hospital Beds Option 1,Service,Per Project,Contract,1
15348,Hospital Furniture,Hospital Beds,Hospital Furniture Premium Service - Hospital Beds Option 2,Service,Per Project,Contract,1
15349,Hospital Furniture,Hospital Beds,Hospital Furniture Consultation - Hospital Beds Option 3,Service,Per Project,Contract,1
15350,Hospital Furniture,Hospital Beds,Hospital Furniture Management Service - Hospital Beds Option 4,Service,Per Project,Contract,1
15351,Hospital Furniture,Hospital Beds,Hospital Furniture Support Service - Hospital Beds Option 5,Service,Per Project,Contract,1
15352,Hospital Furniture,Examination Tables,Hospital Furniture Product B - Examination Tables Type 1,Product,Unit,Lot,15
15353,Hospital Furniture,Examination Tables,Hospital Furniture Product C - Examination Tables Type 2,Product,License,Subscription,20
15354,Hospital Furniture,Examination Tables,Hospital Furniture Item Premium - Examination Tables Type 3,Product,Service,Contract,25
15355,Hospital Furniture,Examination Tables,Hospital Furniture Item Standard - Examination Tables Type 4,Product,Ton,MT,30
15356,Hospital Furniture,Examination Tables,Hospital Furniture Item Economy - Examination Tables Type 5,Product,Pack,Carton,35
15357,Hospital Furniture,Examination Tables,Hospital Furniture Model X1 - Examination Tables Type 6,Product,Gram,Kg,40
15358,Hospital Furniture,Examination Tables,Hospital Furniture Model X2 - Examination Tables Type 7,Product,Can,Pallet,45
15359,Hospital Furniture,Examination Tables,Hospital Furniture Model Pro - Examination Tables Type 8,Product,Book,Box,50
15360,Hospital Furniture,Examination Tables,Hospital Furniture Solution Basic - Examination Tables Type 9,Product,Certificate,Lot,55
15361,Hospital Furniture,Examination Tables,Hospital Furniture Solution Advanced - Examination Tables Type 10,Product,Credit,Pack,60
15362,Hospital Furniture,Examination Tables,Hospital Furniture Solution Enterprise - Examination Tables Type 11,Product,Per Filing,Annual,65
15363,Hospital Furniture,Examination Tables,Hospital Furniture Pack Small - Examination Tables Type 12,Product,Per Month,Annual,70
15364,Hospital Furniture,Examination Tables,Hospital Furniture Pack Medium - Examination Tables Type 13,Product,Per Hour,Monthly,75
15365,Hospital Furniture,Examination Tables,Hospital Furniture Pack Large - Examination Tables Type 14,Product,Per Project,Contract,80
15366,Hospital Furniture,Examination Tables,Hospital Furniture Kit Starter - Examination Tables Type 15,Product,Per Acre,Per Season,85
15367,Hospital Furniture,Examination Tables,Hospital Furniture Kit Professional - Examination Tables Type 16,Product,Per Day,Monthly,90
15368,Hospital Furniture,Examination Tables,Hospital Furniture Standard Service - Examination Tables Option 1,Service,Per Project,Contract,1
15369,Hospital Furniture,Examination Tables,Hospital Furniture Premium Service - Examination Tables Option 2,Service,Per Project,Contract,1
15370,Hospital Furniture,Examination Tables,Hospital Furniture Consultation - Examination Tables Option 3,Service,Per Project,Contract,1
15371,Hospital Furniture,Examination Tables,Hospital Furniture Management Service - Examination Tables Option 4,Service,Per Project,Contract,1
15372,Hospital Furniture,Examination Tables,Hospital Furniture Support Service - Examination Tables Option 5,Service,Per Project,Contract,1
15373,Hospital Furniture,IV Stands,Hospital Furniture Product B - IV Stands Type 1,Product,Roll,Pallet,120
15374,Hospital Furniture,IV Stands,Hospital Furniture Product C - IV Stands Type 2,Product,Sqft,Sqmt,125
15375,Hospital Furniture,IV Stands,Hospital Furniture Item Premium - IV Stands Type 3,Product,Sqmt,Acre,130
15376,Hospital Furniture,IV Stands,Hospital Furniture Item Standard - IV Stands Type 4,Product,Kg,Ton,135
15377,Hospital Furniture,IV Stands,Hospital Furniture Item Economy - IV Stands Type 5,Product,Litre,Barrel,140
15378,Hospital Furniture,IV Stands,Hospital Furniture Model X1 - IV Stands Type 6,Product,Piece,Dozen,145
15379,Hospital Furniture,IV Stands,Hospital Furniture Model X2 - IV Stands Type 7,Product,Set,Lot,150
15380,Hospital Furniture,IV Stands,Hospital Furniture Model Pro - IV Stands Type 8,Product,Meter,Roll,155
15381,Hospital Furniture,IV Stands,Hospital Furniture Solution Basic - IV Stands Type 9,Product,Box,Carton,160
15382,Hospital Furniture,IV Stands,Hospital Furniture Solution Advanced - IV Stands Type 10,Product,Bag,Pallet,165
15383,Hospital Furniture,IV Stands,Hospital Furniture Solution Enterprise - IV Stands Type 11,Product,Unit,Lot,170
15384,Hospital Furniture,IV Stands,Hospital Furniture Pack Small - IV Stands Type 12,Product,License,Subscription,175
15385,Hospital Furniture,IV Stands,Hospital Furniture Pack Medium - IV Stands Type 13,Product,Service,Contract,180
15386,Hospital Furniture,IV Stands,Hospital Furniture Pack Large - IV Stands Type 14,Product,Ton,MT,185
15387,Hospital Furniture,IV Stands,Hospital Furniture Kit Starter - IV Stands Type 15,Product,Pack,Carton,190
15388,Hospital Furniture,IV Stands,Hospital Furniture Kit Professional - IV Stands Type 16,Product,Gram,Kg,195
15389,Hospital Furniture,IV Stands,Hospital Furniture Standard Service - IV Stands Option 1,Service,Per Project,Contract,1
15390,Hospital Furniture,IV Stands,Hospital Furniture Premium Service - IV Stands Option 2,Service,Per Project,Contract,1
15391,Hospital Furniture,IV Stands,Hospital Furniture Consultation - IV Stands Option 3,Service,Per Project,Contract,1
15392,Hospital Furniture,IV Stands,Hospital Furniture Management Service - IV Stands Option 4,Service,Per Project,Contract,1
15393,Hospital Furniture,IV Stands,Hospital Furniture Support Service - IV Stands Option 5,Service,Per Project,Contract,1
15394,Hospital Furniture,Wheelchairs,Hospital Furniture Product B - Wheelchairs Type 1,Product,Per Month,Annual,225
15395,Hospital Furniture,Wheelchairs,Hospital Furniture Product C - Wheelchairs Type 2,Product,Per Hour,Monthly,230
15396,Hospital Furniture,Wheelchairs,Hospital Furniture Item Premium - Wheelchairs Type 3,Product,Per Project,Contract,235
15397,Hospital Furniture,Wheelchairs,Hospital Furniture Item Standard - Wheelchairs Type 4,Product,Per Acre,Per Season,240
15398,Hospital Furniture,Wheelchairs,Hospital Furniture Item Economy - Wheelchairs Type 5,Product,Per Day,Monthly,245
15399,Hospital Furniture,Wheelchairs,Hospital Furniture Model X1 - Wheelchairs Type 6,Product,Per Sample,Batch,250
15400,Hospital Furniture,Wheelchairs,Hospital Furniture Model X2 - Wheelchairs Type 7,Product,Per Trip,Contract,5
15401,Hospital Furniture,Wheelchairs,Hospital Furniture Model Pro - Wheelchairs Type 8,Product,Per Formula,Contract,10
15402,Hospital Furniture,Wheelchairs,Hospital Furniture Solution Basic - Wheelchairs Type 9,Product,Per Animal,Annual,15
15403,Hospital Furniture,Wheelchairs,Hospital Furniture Solution Advanced - Wheelchairs Type 10,Product,Sheet,Box,20
15404,Hospital Furniture,Wheelchairs,Hospital Furniture Solution Enterprise - Wheelchairs Type 11,Product,Roll,Pallet,25
15405,Hospital Furniture,Wheelchairs,Hospital Furniture Pack Small - Wheelchairs Type 12,Product,Sqft,Sqmt,30
15406,Hospital Furniture,Wheelchairs,Hospital Furniture Pack Medium - Wheelchairs Type 13,Product,Sqmt,Acre,35
15407,Hospital Furniture,Wheelchairs,Hospital Furniture Pack Large - Wheelchairs Type 14,Product,Kg,Ton,40
15408,Hospital Furniture,Wheelchairs,Hospital Furniture Kit Starter - Wheelchairs Type 15,Product,Litre,Barrel,45
15409,Hospital Furniture,Wheelchairs,Hospital Furniture Kit Professional - Wheelchairs Type 16,Product,Piece,Dozen,50
15410,Hospital Furniture,Wheelchairs,Hospital Furniture Standard Service - Wheelchairs Option 1,Service,Per Project,Contract,1
15411,Hospital Furniture,Wheelchairs,Hospital Furniture Premium Service - Wheelchairs Option 2,Service,Per Project,Contract,1
15412,Hospital Furniture,Wheelchairs,Hospital Furniture Consultation - Wheelchairs Option 3,Service,Per Project,Contract,1
15413,Hospital Furniture,Wheelchairs,Hospital Furniture Management Service - Wheelchairs Option 4,Service,Per Project,Contract,1
15414,Hospital Furniture,Wheelchairs,Hospital Furniture Support Service - Wheelchairs Option 5,Service,Per Project,Contract,1
15415,Hospital Furniture,Stretchers,Hospital Furniture Product B - Stretchers Type 1,Product,License,Subscription,80
15416,Hospital Furniture,Stretchers,Hospital Furniture Product C - Stretchers Type 2,Product,Service,Contract,85
15417,Hospital Furniture,Stretchers,Hospital Furniture Item Premium - Stretchers Type 3,Product,Ton,MT,90
15418,Hospital Furniture,Stretchers,Hospital Furniture Item Standard - Stretchers Type 4,Product,Pack,Carton,95
15419,Hospital Furniture,Stretchers,Hospital Furniture Item Economy - Stretchers Type 5,Product,Gram,Kg,100
15420,Hospital Furniture,Stretchers,Hospital Furniture Model X1 - Stretchers Type 6,Product,Can,Pallet,105
15421,Hospital Furniture,Stretchers,Hospital Furniture Model X2 - Stretchers Type 7,Product,Book,Box,110
15422,Hospital Furniture,Stretchers,Hospital Furniture Model Pro - Stretchers Type 8,Product,Certificate,Lot,115
15423,Hospital Furniture,Stretchers,Hospital Furniture Solution Basic - Stretchers Type 9,Product,Credit,Pack,120
15424,Hospital Furniture,Stretchers,Hospital Furniture Solution Advanced - Stretchers Type 10,Product,Per Filing,Annual,125
15425,Hospital Furniture,Stretchers,Hospital Furniture Solution Enterprise - Stretchers Type 11,Product,Per Month,Annual,130
15426,Hospital Furniture,Stretchers,Hospital Furniture Pack Small - Stretchers Type 12,Product,Per Hour,Monthly,135
15427,Hospital Furniture,Stretchers,Hospital Furniture Pack Medium - Stretchers Type 13,Product,Per Project,Contract,140
15428,Hospital Furniture,Stretchers,Hospital Furniture Pack Large - Stretchers Type 14,Product,Per Acre,Per Season,145
15429,Hospital Furniture,Stretchers,Hospital Furniture Kit Starter - Stretchers Type 15,Product,Per Day,Monthly,150
15430,Hospital Furniture,Stretchers,Hospital Furniture Kit Professional - Stretchers Type 16,Product,Per Sample,Batch,155
15431,Hospital Furniture,Stretchers,Hospital Furniture Standard Service - Stretchers Option 1,Service,Per Project,Contract,1
15432,Hospital Furniture,Stretchers,Hospital Furniture Premium Service - Stretchers Option 2,Service,Per Project,Contract,1
15433,Hospital Furniture,Stretchers,Hospital Furniture Consultation - Stretchers Option 3,Service,Per Project,Contract,1
15434,Hospital Furniture,Stretchers,Hospital Furniture Management Service - Stretchers Option 4,Service,Per Project,Contract,1
15435,Hospital Furniture,Stretchers,Hospital Furniture Support Service - Stretchers Option 5,Service,Per Project,Contract,1
15436,Hospital Furniture,Hospital Trolleys,Hospital Furniture Product B - Hospital Trolleys Type 1,Product,Sqft,Sqmt,185
